Execution_Time,CPU,Disk,Memory,Heap,Threads
12821.4,6,259939370.5,16.41666667,0.22839992,5.083333333
12001,7,268419508.5,17.625,0.243294264,8
13369.6,8.333333333,276503698.3,19.44444444,0.295342818,10.22222222
12284,9.857142857,284288920.4,21.71428571,0.406826879,13
12998.4,11,292205816.6,23.75,0.443703678,15.25
37121,11,299286100.5,25.5,0.531132819,18.16666667
13046,12.14285714,306869361.7,27.57142857,0.59081358,20
13348,12.1,314753639.3,29.7,0.596056953,23.1
54082.2,12.75,322775726.8,32.25,0.630734519,25.125
13873.8,4,250082173.5,15,0.217205459,3
11913.4,5,261702047.3,16.58333333,0.259545963,5.166666667
13668.6,6,270437580.7,18.27272727,0.30062694,8
13923.8,7.222222222,278729790.8,20.22222222,0.344054757,10.11111111
13421,8.555555556,286984740.8,22.22222222,0.341408123,13
12797.4,9.625,294862211,24,0.454775571,15.25
14656,10.6,303071429.6,25.8,0.518350159,18.1
13192,11,311620410.2,28.4,0.551680582,20.1
31794.4,11,319577675.7,30.71428571,0.677811581,23
13820,12,326943641.1,32.71428571,0.634472604,25.14285714
13555.2,12,334837768.8,34.625,0.741954196,28
43888,12,342191759.9,37,0.331325347,30.14285714
43351,13,348837438,37,0.383859284,33
12998,13,355056466.3,37,0.370276917,35.33333333
15249.2,0,124761868,14,0.236985911,0
12618.8,0,138986767.7,14,0.195205818,2
11542.6,0,149818766.7,14.91666667,0.156772503,3
13284.6,0,158950924.8,16.25,0.238899547,5
12973.6,0,168681091.4,17.92857143,0.313338106,6.142857143
12570.8,0.1,177594009.6,19.5,0.294410819,8
14223,1,186075568.6,21.2,0.391197676,9.3
14465,2,125874994.5,14,0.077017326,0
12288.2,3,137444271.2,14.61538462,0.184274853,2.076923077
12107.4,3.928571429,147219469.6,15.85714286,0.270386164,3
12744.4,4.5,156554559.1,17,0.246691174,5.166666667
11343,5,165470991.9,18.63636364,0.334664429,6.181818182
13000.8,6,174354254.8,20.09090909,0.343904238,8
14885.6,7.133333333,183918339.1,22.26666667,0.387259882,9.2
14585.8,8,192830316,24,0.490789827,11
14293,9,200973208,25.81818182,0.513687205,12.18181818
52598.2,9.142857143,209068098.7,27.42857143,0.556967032,14
13685.4,10,216623418.1,29.125,0.572021681,15.375
29650,10,224045497,31,0.653255434,17.16666667
12693.4,11,231510053,33.14285714,0.598672733,18.14285714
12781.6,11,239420628.9,34.77777778,0.745607223,20
14355.6,11.75,247273027.9,36,0.265812853,21.375
13943.2,11.9,255634695.5,36,0.361034334,23
32255.8,12,263705434.6,36,0.419508684,24.28571429
23752.6,12,271121858.3,36,0.474952769,26.14285714
